Gen	theta_1Jp	theta_2Me	theta_3MoN	theta_4MoS	theta_5Si	theta_6JpMeMoNMoSSi	theta_7JpMeMoNMoS	theta_8JpMeMoN	theta_9JpMe	tau_6JpMeMoNMoSSi	tau_7JpMeMoNMoS	tau_8JpMeMoN	tau_9JpMe	lnL
7588	0.001876	0.000768	0.003045	0.012760	0.001330	0.005235	0.000844	0.008175	0.000961	0.000691	0.000647	0.000361	0.000343	-10419.897
7590	0.001885	0.000772	0.003060	0.012551	0.001337	0.005259	0.000848	0.008199	0.000966	0.000694	0.000650	0.000363	0.000345	-10408.775
7592	0.001885	0.000772	0.003060	0.012150	0.001337	0.005259	0.000824	0.005537	0.001071	0.000694	0.000658	0.000372	0.000311	-10419.107
7594	0.001767	0.000723	0.002493	0.011611	0.001253	0.004929	0.000772	0.005190	0.000964	0.000651	0.000617	0.000348	0.000304	-10418.480
7596	0.001767	0.000723	0.002493	0.011502	0.001253	0.004929	0.000772	0.008459	0.000964	0.000651	0.000617	0.000331	0.000304	-10417.688
7598	0.001494	0.000612	0.002108	0.009350	0.001060	0.004169	0.000653	0.006098	0.000815	0.000550	0.000522	0.000284	0.000257	-10417.883
7600	0.001494	0.000612	0.002224	0.009350	0.001060	0.004169	0.000649	0.006098	0.000815	0.000550	0.000523	0.000284	0.000257	-10434.698
7602	0.001478	0.000605	0.002200	0.009248	0.001061	0.004124	0.000642	0.006032	0.000806	0.000544	0.000517	0.000281	0.000254	-10433.869
7604	0.001523	0.000624	0.002653	0.009530	0.001093	0.004249	0.000662	0.014328	0.000822	0.000561	0.000533	0.000273	0.000265	-10416.253
7606	0.001523	0.000624	0.002653	0.009530	0.001093	0.004249	0.000662	0.009853	0.000822	0.000561	0.000533	0.000278	0.000265	-10410.690
7608	0.001523	0.000624	0.002653	0.009530	0.001093	0.004249	0.000662	0.005226	0.000822	0.000561	0.000533	0.000290	0.000265	-10415.719
7610	0.001523	0.000624	0.002653	0.009530	0.001093	0.004741	0.000683	0.005882	0.000822	0.000561	0.000525	0.000287	0.000265	-10405.071
7612	0.001523	0.000624	0.002653	0.009040	0.001093	0.005120	0.000683	0.005572	0.000822	0.000561	0.000525	0.000287	0.000265	-10394.653
7614	0.001523	0.000624	0.002190	0.008865	0.001093	0.005120	0.000683	0.005572	0.001209	0.000561	0.000525	0.000287	0.000265	-10389.409
7616	0.001448	0.000593	0.002082	0.008428	0.001039	0.004867	0.000650	0.005297	0.001150	0.000533	0.000500	0.000273	0.000252	-10408.687
7618	0.001530	0.000626	0.002200	0.008906	0.001098	0.004652	0.000687	0.005598	0.001215	0.000563	0.000528	0.000288	0.000266	-10394.078
7620	0.001530	0.000626	0.002200	0.009332	0.001098	0.004652	0.000687	0.005598	0.001215	0.000563	0.000528	0.000288	0.000266	-10403.404
7622	0.001530	0.000626	0.002200	0.009332	0.001098	0.004652	0.000723	0.006097	0.001319	0.000563	0.000516	0.000288	0.000245	-10419.878
7624	0.001779	0.000729	0.002559	0.010420	0.001277	0.005800	0.000841	0.007091	0.001415	0.000655	0.000600	0.000335	0.000309	-10409.439
7626	0.001633	0.000669	0.002348	0.009036	0.001172	0.004763	0.000772	0.006992	0.001280	0.000601	0.000550	0.000308	0.000287	-10409.011
