Gen	theta_1JpMeMoNMoS	theta_2Si	theta_3JpMeMoNMoSSi	tau_3JpMeMoNMoSSi	lnL
150154	0.013964	0.001793	0.005087	0.000914	-10402.250
150156	0.013793	0.001771	0.005024	0.000903	-10425.899
150158	0.013793	0.001771	0.005024	0.000903	-10428.947
150160	0.012054	0.001548	0.004391	0.000789	-10412.335
150162	0.010813	0.001388	0.003939	0.000708	-10407.177
150164	0.010813	0.001388	0.003939	0.000708	-10402.929
150166	0.010223	0.001313	0.003724	0.000669	-10409.541
150168	0.011539	0.001482	0.004203	0.000755	-10405.076
150170	0.011539	0.001482	0.004203	0.000755	-10413.296
150172	0.011567	0.001485	0.004214	0.000757	-10416.705
150174	0.012511	0.001710	0.004853	0.000872	-10406.130
150176	0.011810	0.001536	0.004356	0.000783	-10406.531
150178	0.010076	0.001310	0.003717	0.000668	-10427.232
150180	0.011135	0.001448	0.004108	0.000738	-10422.486
150182	0.010895	0.001417	0.003565	0.000722	-10424.432
150184	0.011677	0.001518	0.003820	0.000774	-10417.841
150186	0.012587	0.001518	0.003800	0.000778	-10418.255
150188	0.012587	0.001518	0.003800	0.000778	-10416.332
150190	0.014587	0.001759	0.004403	0.000902	-10446.522
150192	0.014265	0.001721	0.004306	0.000882	-10450.234
150194	0.014265	0.001721	0.004936	0.000882	-10445.531
150196	0.012274	0.001559	0.004474	0.000799	-10434.388
150198	0.011903	0.001937	0.004173	0.000745	-10423.361
150200	0.013359	0.002174	0.004684	0.000836	-10408.426
150202	0.013597	0.002174	0.005427	0.000836	-10387.218
150204	0.014866	0.002377	0.005933	0.000915	-10409.403
150206	0.014866	0.002377	0.005213	0.000915	-10407.897
150208	0.014866	0.002377	0.005213	0.000915	-10418.391
150210	0.014866	0.002377	0.005213	0.000915	-10402.167
150212	0.013787	0.002204	0.004835	0.000848	-10416.422
150214	0.015595	0.002493	0.005469	0.000959	-10419.844
150216	0.016347	0.002037	0.006366	0.000966	-10390.117
150218	0.013006	0.001782	0.005122	0.000920	-10406.530
150220	0.012557	0.001594	0.004581	0.000823	-10412.290
150222	0.013387	0.001700	0.004884	0.000877	-10397.274
150224	0.013387	0.001700	0.004884	0.000877	-10399.502
150226	0.014607	0.001854	0.005329	0.000957	-10404.567
150228	0.016392	0.002081	0.005980	0.001074	-10391.300
150230	0.016392	0.002081	0.005980	0.001074	-10397.788
150232	0.016392	0.002081	0.005980	0.001074	-10386.759
150234	0.015625	0.002081	0.005711	0.001074	-10404.881
150236	0.015625	0.002081	0.005711	0.001074	-10414.099
150238	0.015625	0.002081	0.005711	0.001074	-10425.590
150240	0.015625	0.002081	0.005711	0.001074	-10419.727
