Gen	theta_1JpMeMoN	theta_2MoS	theta_3Si	theta_4JpMeMoNMoSSi	theta_5JpMeMoNMoS	tau_4JpMeMoNMoSSi	tau_5JpMeMoNMoS	lnL
186812	0.005540	0.011247	0.001879	0.003751	0.004163	0.001099	0.000401	-10441.330
186814	0.005540	0.010908	0.001879	0.003615	0.004254	0.001083	0.000393	-10431.690
186816	0.005540	0.010908	0.001879	0.003561	0.004071	0.001094	0.000410	-10416.642
186818	0.005540	0.010908	0.001879	0.003515	0.003975	0.001103	0.000420	-10427.158
186820	0.005934	0.011684	0.002012	0.003560	0.004319	0.001182	0.000444	-10428.172
186822	0.005934	0.011684	0.001629	0.003463	0.004362	0.001181	0.000439	-10396.755
186824	0.005934	0.011976	0.001340	0.003462	0.004203	0.001182	0.000456	-10411.236
186826	0.005934	0.011976	0.001340	0.003477	0.004341	0.001179	0.000447	-10415.753
186828	0.005724	0.011551	0.001292	0.003405	0.004199	0.001126	0.000430	-10414.149
186830	0.006441	0.013007	0.001454	0.003762	0.004935	0.001282	0.000463	-10403.823
186832	0.007253	0.014646	0.001638	0.004285	0.005500	0.001433	0.000527	-10443.274
186834	0.007164	0.014646	0.001638	0.004239	0.005560	0.001443	0.000521	-10408.686
186836	0.007164	0.014646	0.001638	0.004317	0.005908	0.001427	0.000516	-10412.128
186838	0.006062	0.013500	0.001509	0.003862	0.005512	0.001340	0.000470	-10437.198
186840	0.006062	0.013500	0.001509	0.003887	0.005247	0.001335	0.000494	-10407.539
186842	0.005965	0.013420	0.001485	0.003773	0.005581	0.001325	0.000472	-10412.211
186844	0.005732	0.012896	0.001427	0.003407	0.005281	0.001254	0.000461	-10402.164
186846	0.006027	0.012896	0.001427	0.003478	0.005407	0.001237	0.000450	-10420.230
186848	0.006727	0.014393	0.001593	0.003495	0.005802	0.001399	0.000522	-10429.716
186850	0.006727	0.013765	0.001593	0.003496	0.005642	0.001409	0.000537	-10433.387
186852	0.005318	0.012143	0.001373	0.003014	0.005143	0.001214	0.000455	-10407.932
186854	0.006023	0.013443	0.001555	0.003461	0.005754	0.001363	0.000522	-10416.582
186856	0.006023	0.013213	0.001555	0.003478	0.005854	0.001359	0.000513	-10435.089
186858	0.006023	0.013213	0.001555	0.003537	0.005918	0.001345	0.000508	-10456.293
186860	0.006240	0.013688	0.001611	0.003655	0.005951	0.001396	0.000542	-10429.780
186862	0.006240	0.013688	0.001611	0.003573	0.005859	0.001415	0.000550	-10436.801
186864	0.006240	0.013979	0.001611	0.003562	0.005859	0.001418	0.000550	-10441.388
186866	0.006240	0.013979	0.001611	0.003690	0.006022	0.001443	0.000560	-10420.816
186868	0.007290	0.016332	0.001882	0.004393	0.006993	0.001667	0.000659	-10429.844
186870	0.007414	0.016610	0.001914	0.004542	0.007357	0.001678	0.000648	-10441.699
